timestamp,consumption_kwh,voltage,temperature,load_factor,is_peak_hour,maintenance_status,efficiency_class
2024-01-01 00:00,310.2,235.9,40.6,0.76,No,Normal,Inefficient
2024-01-01 01:00,178.8,227.5,35.4,0.84,No,Normal,Inefficient
2024-01-01 02:00,206.9,233.2,32.9,0.35,No,Scheduled,Efficient
2024-01-01 03:00,211.2,229.5,38.2,0.7,No,Normal,Moderate
2024-01-01 04:00,228.2,231.7,35.5,0.88,No,Required,Inefficient
2024-01-01 05:00,213.3,232.0,33.8,0.21,No,Normal,Very Efficient
2024-01-01 06:00,313.0,228.3,40.8,0.24,No,Normal,Very Efficient
2024-01-01 07:00,278.7,241.1,37.5,0.87,No,Scheduled,Inefficient
2024-01-01 08:00,243.0,225.3,30.7,0.88,No,Required,Inefficient
2024-01-01 09:00,270.4,234.9,34.9,0.88,No,Normal,Inefficient
2024-01-01 10:00,246.2,236.2,28.5,0.9,No,Normal,Inefficient
2024-01-01 11:00,291.6,227.4,35.0,0.84,No,Normal,Inefficient
2024-01-01 12:00,138.0,228.9,37.9,0.85,No,Normal,Inefficient
2024-01-01 13:00,273.8,238.8,39.8,0.64,No,Normal,Moderate
2024-01-01 14:00,147.5,235.8,31.9,0.76,No,Scheduled,Inefficient
2024-01-01 15:00,272.4,229.1,40.8,0.64,No,Normal,Moderate
2024-01-01 16:00,191.3,231.8,32.4,0.69,No,Normal,Moderate
2024-01-01 17:00,226.1,240.6,33.5,0.77,No,Normal,Inefficient
2024-01-01 18:00,124.3,241.2,36.8,0.73,Yes,Normal,Moderate
2024-01-01 19:00,208.5,239.3,39.6,0.36,Yes,Scheduled,Efficient
2024-01-01 20:00,336.4,228.9,39.4,0.59,Yes,Normal,Moderate
2024-01-01 21:00,127.6,236.8,28.6,0.29,Yes,Normal,Very Efficient
2024-01-01 22:00,304.9,231.2,26.6,0.33,Yes,Required,Very Efficient
2024-01-01 23:00,289.4,242.0,26.6,0.72,No,Normal,Moderate
2024-01-02 00:00,296.6,226.4,32.5,0.38,No,Normal,Efficient
2024-01-02 01:00,186.8,228.9,25.8,0.86,No,Normal,Inefficient
2024-01-02 02:00,238.0,239.6,37.4,0.84,No,Normal,Inefficient
2024-01-02 03:00,284.8,231.2,39.9,0.31,No,Normal,Very Efficient
