timestamp,consumption_kwh,voltage,temperature,load_factor,is_peak_hour,maintenance_status,efficiency_class
01-01-2024 00:00,253.8,,40.4,0.64,No,Normal,Moderate
01-01-2024 01:00,319.5,233.4,29.8,0.94,No,Normal,Inefficient
01-01-2024 02:00,206.8,230.9,28.8,0.36,No,Normal,Efficient
01-01-2024 03:00,299.8,226.7,30.8,0.38,No,Normal,Efficient
01-01-2024 04:00,238,226.4,24.2,0.48,No,Scheduled,Efficient
01-01-2024 05:00,234.8,225.6,27.1,0.6,No,Normal,Moderate
01-01-2024 06:00,162.8,241.5,41.7,0.59,No,Normal,Moderate
01-01-2024 07:00,287.5,241.4,39.9,0.49,No,Normal,Efficient
01-01-2024 08:00,243.2,,30.1,0.54,No,Required,Efficient
01-01-2024 09:00,230.8,229.8,24.2,0.37,No,Normal,Efficient
01-01-2024 10:00,207.4,234.6,35.6,0.34,No,Required,Very Efficient
01-01-2024 11:00,123.4,239.2,33.2,0.66,No,Normal,Moderate
01-01-2024 12:00,225.3,232.9,34.6,0.32,No,Normal,Very Efficient
01-01-2024 13:00,165.3,234,27.7,0.26,No,Normal,Very Efficient
01-01-2024 14:00,225.9,236.4,27.4,0.25,No,Normal,Very Efficient
01-01-2024 15:00,282.1,232.2,26.1,0.53,No,Scheduled,Efficient
01-01-2024 16:00,300,,32.7,0.75,No,Normal,Inefficient
01-01-2024 17:00,330,235.5,39.4,0.93,No,Normal,Inefficient
01-01-2024 18:00,224.1,237.3,27.1,0.32,Yes,Required,Very Efficient
01-01-2024 19:00,229.9,232.9,33.3,0.61,Yes,Scheduled,Moderate
01-01-2024 20:00,120.6,230.3,31.8,0.62,Yes,Normal,Moderate
01-01-2024 21:00,192.1,226.1,34.3,0.56,Yes,Normal,Moderate
01-01-2024 22:00,133.7,237.8,28.7,0.32,Yes,Normal,Very Efficient
01-01-2024 23:00,333.5,231.7,38.4,0.89,No,Normal,Inefficient
02-01-2024 00:00,316.8,,27.7,0.33,No,Scheduled,Very Efficient
02-01-2024 01:00,326.7,225.9,39.6,0.56,No,Normal,Moderate
02-01-2024 02:00,256.9,225.7,39.9,0.84,No,Normal,Inefficient
02-01-2024 03:00,251.8,238.4,32.2,0.44,No,Scheduled,Efficient
02-01-2024 04:00,172.5,232.4,30.2,0.45,No,Normal,Efficient
02-01-2024 05:00,299.4,238.9,38.6,0.46,No,Scheduled,Efficient
02-01-2024 06:00,171.8,233.5,30.1,0.2,No,Normal,Very Efficient
02-01-2024 07:00,236.8,227.7,29,0.5,No,Normal,Efficient
02-01-2024 08:00,209.6,,39.1,0.31,No,Normal,Very Efficient
02-01-2024 09:00,239.4,238.6,27.5,0.73,No,Normal,Moderate
02-01-2024 10:00,218.8,239.1,26.6,0.27,No,Normal,Very Efficient
02-01-2024 11:00,227.4,239.8,33.4,0.54,No,Normal,Efficient
02-01-2024 12:00,312.2,234.2,41,0.91,No,Normal,Inefficient
02-01-2024 13:00,137.2,230.3,35.2,0.49,No,Normal,Efficient
02-01-2024 14:00,239.1,228.9,25.1,0.32,No,Scheduled,Very Efficient
02-01-2024 15:00,304.2,231.5,31.1,0.73,No,Normal,Moderate
02-01-2024 16:00,311.1,,39.4,0.69,No,Normal,Moderate
02-01-2024 17:00,120.5,236.6,28.7,0.59,No,Normal,Moderate
02-01-2024 18:00,154.6,225.5,24.5,0.6,Yes,Required,Moderate
02-01-2024 19:00,298.6,231.3,31.5,0.27,Yes,Normal,Very Efficient
02-01-2024 20:00,225.2,240,27.5,0.65,Yes,Normal,Moderate
02-01-2024 21:00,143.3,237.6,39.8,0.48,Yes,Normal,Efficient
02-01-2024 22:00,178.1,237.3,39.5,0.74,Yes,Normal,Moderate
02-01-2024 23:00,215.5,237.8,28.2,0.53,No,Required,Efficient
03-01-2024 00:00,192.9,,24.6,0.49,No,Required,Efficient
03-01-2024 01:00,332.3,231.8,31.7,0.61,No,Normal,Moderate
03-01-2024 02:00,252.7,230.3,35.7,0.31,No,Required,Very Efficient
03-01-2024 03:00,194,229.3,32.3,0.4,No,Normal,Efficient
03-01-2024 04:00,177,229.8,29.1,0.33,No,Normal,Very Efficient
03-01-2024 05:00,211.7,234.2,25.6,0.65,No,Normal,Moderate
03-01-2024 06:00,178.2,237.3,35.5,0.76,No,Normal,Inefficient
03-01-2024 07:00,217.4,241.9,31.7,0.94,No,Required,Inefficient
03-01-2024 08:00,263.1,,32.7,0.32,No,Normal,Very Efficient
03-01-2024 09:00,337.2,240.7,24.1,0.84,No,Normal,Inefficient
03-01-2024 10:00,339.4,229.8,34.3,0.86,No,Normal,Inefficient
03-01-2024 11:00,177.7,233,38.1,0.87,No,Scheduled,Inefficient
03-01-2024 12:00,184.1,236.1,30.8,0.59,No,Normal,Moderate
03-01-2024 13:00,186.1,235.3,41.9,0.36,No,Scheduled,Efficient
03-01-2024 14:00,136.8,227.5,32.1,0.58,No,Normal,Moderate
03-01-2024 15:00,121,228.9,31.8,0.77,No,Normal,Inefficient
03-01-2024 16:00,144.7,,38.9,0.37,No,Normal,Efficient
03-01-2024 17:00,157.6,226.2,42,0.25,No,Required,Very Efficient
03-01-2024 18:00,284.3,238.4,33.5,0.63,Yes,Scheduled,Moderate
03-01-2024 19:00,189.8,237.8,40.4,0.36,Yes,Scheduled,Efficient
03-01-2024 20:00,262.4,240.2,34.7,0.47,Yes,Normal,Efficient
03-01-2024 21:00,153.8,229.5,34.2,0.85,Yes,Normal,Inefficient
03-01-2024 22:00,201,235.6,40,0.27,Yes,Normal,Very Efficient
03-01-2024 23:00,148.6,236.3,36.3,0.91,No,Normal,Inefficient
04-01-2024 00:00,175.8,,36.3,0.65,No,Normal,Moderate
04-01-2024 01:00,338.1,230.5,41.9,0.92,No,Scheduled,Inefficient
04-01-2024 02:00,185.3,231.7,30.5,0.51,No,Normal,Efficient
04-01-2024 03:00,336.3,227,30.2,0.84,No,Normal,Inefficient
04-01-2024 04:00,195.8,241.4,28.4,0.52,No,Normal,Efficient
04-01-2024 05:00,231.3,230.2,26.6,0.25,No,Normal,Very Efficient
04-01-2024 06:00,253.1,232.3,26,0.25,No,Normal,Very Efficient
04-01-2024 07:00,289.7,237.7,25.2,0.31,No,Normal,Very Efficient
04-01-2024 08:00,300.8,,40.3,0.29,No,Required,Very Efficient
04-01-2024 09:00,257.4,227.8,25.5,0.57,No,Required,Moderate
04-01-2024 10:00,269.7,226.6,28.6,0.85,No,Normal,Inefficient
04-01-2024 11:00,157.6,227.8,31.1,0.22,No,Scheduled,Very Efficient
04-01-2024 12:00,136.5,226.2,28.4,0.58,No,Normal,Moderate
04-01-2024 13:00,203.1,239.1,32,0.79,No,Normal,Inefficient
04-01-2024 14:00,125.5,227.6,33.2,0.6,No,Normal,Moderate
04-01-2024 15:00,231,226.5,28.6,0.77,No,Normal,Inefficient
04-01-2024 16:00,302.1,,30.4,0.67,No,Normal,Moderate
04-01-2024 17:00,288.3,226.2,40.4,0.75,No,Normal,Inefficient
04-01-2024 18:00,150.6,229.9,30,0.49,Yes,Normal,Efficient
04-01-2024 19:00,144.5,230.1,39.6,0.28,Yes,Normal,Very Efficient
04-01-2024 20:00,154.2,240.2,32.6,0.5,Yes,Scheduled,Efficient
04-01-2024 21:00,294.4,238.1,40.6,0.86,Yes,Scheduled,Inefficient
04-01-2024 22:00,159.3,235.4,41.5,0.79,Yes,Normal,Inefficient
04-01-2024 23:00,252.1,225.2,40,0.84,No,Normal,Inefficient
05-01-2024 00:00,190.8,,34.1,0.27,No,Normal,Very Efficient
05-01-2024 01:00,232,237.2,37.9,0.68,No,Scheduled,Moderate
05-01-2024 02:00,295.9,228.4,30.1,0.77,No,Normal,Inefficient
05-01-2024 03:00,274.3,238.2,29.3,0.27,No,Normal,Very Efficient
05-01-2024 04:00,267,235,25.2,0.67,No,Normal,Moderate
05-01-2024 05:00,123.2,238.5,27.1,0.46,No,Normal,Efficient
05-01-2024 06:00,329.7,230.3,24.9,0.75,No,Normal,Inefficient
05-01-2024 07:00,155.1,241.8,26.9,0.3,No,Normal,Very Efficient
05-01-2024 08:00,194.7,,26,0.57,No,Normal,Moderate
05-01-2024 09:00,251.6,232.5,39.1,0.67,No,Normal,Moderate
05-01-2024 10:00,251.7,237.3,24.3,0.92,No,Normal,Inefficient
05-01-2024 11:00,290.4,229.6,38.4,0.58,No,Normal,Moderate
05-01-2024 12:00,336.4,226,34.1,0.93,No,Scheduled,Inefficient
05-01-2024 13:00,279,234.4,37.3,0.55,No,Normal,Moderate
05-01-2024 14:00,182.6,226.8,29.7,0.54,No,Normal,Efficient
