timestamp,consumption_kwh,voltage,temperature,load_factor,is_peak_hour,maintenance_status,efficiency_class
2024-01-01 00:00,257.3,,36.3,0.31,No,Normal,Very Efficient
2024-01-01 01:00,206.9,235.6,39.7,0.35,No,Normal,Efficient
2024-01-01 02:00,290.5,230.6,37.4,0.29,No,Normal,Very Efficient
2024-01-01 03:00,163.7,237.9,38.3,0.65,No,Required,Moderate
2024-01-01 04:00,249.0,239.5,40.3,0.67,No,Normal,Moderate
2024-01-01 05:00,213.2,227.1,30.5,0.86,No,Required,Inefficient
2024-01-01 06:00,276.6,239.5,35.2,0.53,No,Normal,Efficient
2024-01-01 07:00,142.0,241.3,27.2,0.37,No,Scheduled,Efficient
2024-01-01 08:00,290.9,,27.1,0.34,No,Normal,Very Efficient
2024-01-01 09:00,163.9,241.4,28.0,0.48,No,Normal,Efficient
2024-01-01 10:00,182.8,237.8,31.7,0.41,No,Normal,Efficient
2024-01-01 11:00,138.0,229.9,28.8,0.6,No,Normal,Moderate
2024-01-01 12:00,173.4,234.2,25.9,0.49,No,Normal,Efficient
2024-01-01 13:00,314.7,237.9,26.5,0.68,No,Normal,Moderate
2024-01-01 14:00,139.3,232.7,29.7,0.27,No,Normal,Very Efficient
2024-01-01 15:00,153.7,233.3,26.1,0.42,No,Normal,Efficient
2024-01-01 16:00,218.7,,30.8,0.56,No,Normal,Moderate
2024-01-01 17:00,279.8,239.7,24.7,0.43,No,Normal,Efficient
2024-01-01 18:00,170.0,233.2,38.7,0.73,Yes,Normal,Moderate
2024-01-01 19:00,275.1,226.5,33.3,0.65,Yes,Scheduled,Moderate
2024-01-01 20:00,146.9,236.4,39.5,0.82,Yes,Required,Inefficient
2024-01-01 21:00,332.8,232.9,24.9,0.25,Yes,Normal,Very Efficient
2024-01-01 22:00,150.6,237.3,35.4,0.22,Yes,Normal,Very Efficient
2024-01-01 23:00,338.4,233.8,37.1,0.35,No,Normal,Efficient
2024-01-02 00:00,191.2,,38.7,0.9,No,Required,Inefficient
2024-01-02 01:00,236.3,241.8,35.0,0.77,No,Scheduled,Inefficient
2024-01-02 02:00,319.2,235.7,32.0,0.94,No,Normal,Inefficient
2024-01-02 03:00,171.4,237.7,24.4,0.72,No,Normal,Moderate
2024-01-02 04:00,178.5,230.4,28.0,0.82,No,Required,Inefficient
2024-01-02 05:00,212.9,233.2,40.7,0.3,No,Normal,Very Efficient
2024-01-02 06:00,288.2,232.3,31.1,0.85,No,Normal,Inefficient
2024-01-02 07:00,224.9,228.7,26.3,0.31,No,Required,Very Efficient
2024-01-02 08:00,198.9,,28.9,0.59,No,Required,Moderate
2024-01-02 09:00,154.0,228.0,34.9,0.53,No,Required,Efficient
2024-01-02 10:00,196.8,239.3,28.8,0.35,No,Normal,Efficient
2024-01-02 11:00,228.1,241.5,27.0,0.3,No,Normal,Very Efficient
2024-01-02 12:00,328.0,236.8,37.8,0.38,No,Normal,Efficient
2024-01-02 13:00,136.8,240.6,39.9,0.3,No,Required,Very Efficient
2024-01-02 14:00,173.7,238.5,30.5,0.64,No,Normal,Moderate
2024-01-02 15:00,129.6,234.8,27.9,0.83,No,Normal,Inefficient
2024-01-02 16:00,121.1,,40.8,0.94,No,Normal,Inefficient
2024-01-02 17:00,157.4,233.4,37.1,0.88,No,Normal,Inefficient
2024-01-02 18:00,133.1,226.4,28.8,0.39,Yes,Normal,Efficient
2024-01-02 19:00,183.7,225.1,38.9,0.38,Yes,Required,Efficient
2024-01-02 20:00,236.5,226.9,33.3,0.53,Yes,Normal,Efficient
