timestamp,consumption_kwh,voltage,temperature,humidity,equipment_id
2026-01-01 00:00:00,450.5,230.2,24.5,55.3,UNIT-A1
2026-01-01 01:00:00,425.3,229.8,24.3,55.8,UNIT-A1
2026-01-01 02:00:00,380.2,231.1,24.1,56.2,UNIT-A1
2026-01-01 03:00:00,360.8,230.5,23.9,56.5,UNIT-A1
2026-01-01 04:00:00,355.4,230.3,23.7,56.8,UNIT-A1
2026-01-01 05:00:00,375.6,230.7,23.8,56.4,UNIT-A1
2026-01-01 06:00:00,420.3,230.4,24.2,55.9,UNIT-A1
2026-01-01 07:00:00,485.7,229.9,24.8,55.1,UNIT-A1
2026-01-01 08:00:00,545.2,229.5,25.5,54.2,UNIT-A1
2026-01-01 09:00:00,620.8,229.2,26.3,53.5,UNIT-A1
2026-01-01 10:00:00,680.4,228.9,27.1,52.8,UNIT-A1
2026-01-01 11:00:00,715.3,228.7,27.8,52.2,UNIT-A1
2026-01-01 12:00:00,725.6,228.5,28.2,51.9,UNIT-A1
2026-01-01 13:00:00,718.2,228.6,28.0,52.1,UNIT-A1
2026-01-01 14:00:00,698.5,228.9,27.6,52.5,UNIT-A1
2026-01-01 15:00:00,665.3,229.3,27.2,53.0,UNIT-A1
2026-01-01 16:00:00,625.7,229.6,26.8,53.6,UNIT-A1
2026-01-01 17:00:00,590.2,229.9,26.4,54.1,UNIT-A1
2026-01-01 18:00:00,555.8,230.2,26.0,54.5,UNIT-A1
2026-01-01 19:00:00,520.4,230.5,25.5,55.0,UNIT-A1
2026-01-01 20:00:00,485.6,230.8,25.1,55.4,UNIT-A1
2026-01-01 21:00:00,450.3,231.0,24.8,55.8,UNIT-A1
2026-01-01 22:00:00,420.7,231.2,24.5,56.1,UNIT-A1
2026-01-01 23:00:00,395.2,231.3,24.3,56.4,UNIT-A1
